date,open,low,high,close,volume
2021-04-29 00:00:00,1294.06,1294.06,1312.62,1312.28,242336900
2021-05-04 00:00:00,1312.28,1285.9,1329.18,1328.03,274202700
2021-05-05 00:00:00,1328.03,1328.03,1360.76,1346.89,274663200
2021-05-06 00:00:00,1346.89,1337.28,1352.57,1344.64,226859700
2021-05-07 00:00:00,1344.64,1329.51,1347.8,1340.73,291435700
2021-05-10 00:00:00,1340.73,1335.39,1371.51,1370.66,302727000
2021-05-11 00:00:00,1370.66,1359.19,1382.06,1359.19,262049600
2021-05-12 00:00:00,1359.19,1350.8,1380.23,1380.17,264230000
2021-05-13 00:00:00,1380.17,1370.18,1385.72,1370.18,271897300
2021-05-14 00:00:00,1370.18,1370.14,1386.09,1380.02,251133900
2021-05-17 00:00:00,1380.02,1371.22,1391.89,1371.36,254610700
2021-05-18 00:00:00,1371.36,1367.85,1381.36,1378.59,252829000
2021-05-19 00:00:00,1378.59,1378.43,1402.45,1401.71,279667100
2021-05-20 00:00:00,1401.71,1396.23,1424.92,1424.92,270201500
2021-05-21 00:00:00,1424.92,1412.78,1433.01,1425.04,267790400
2021-05-24 00:00:00,1425.04,1421.17,1433.59,1430.48,256209400
2021-05-25 00:00:00,1430.48,1427.56,1445.6,1444.01,209778800
2021-05-26 00:00:00,1444.01,1440.6,1456.55,1455.11,233969200
2021-05-27 00:00:00,1455.11,1433.76,1457.46,1437.38,264785900
2021-05-28 00:00:00,1437.38,1433.55,1460.68,1458.78,300175000
2021-05-31 00:00:00,1458.78,1449.66,1475.09,1474.78,293022200
2021-06-01 00:00:00,1474.78,1473.28,1496.55,1482.92,255910200
2021-06-02 00:00:00,1482.92,1469.49,1488.93,1478.85,277182000
2021-06-03 00:00:00,1478.85,1478.85,1506.27,1504.37,318348000
2021-06-04 00:00:00,1504.37,1496.36,1509.38,1508.35,336486800
2021-06-07 00:00:00,1508.35,1472.1,1508.65,1484.1,309807000
2021-06-08 00:00:00,1484.1,1436.72,1493.36,1438.97,328466400
2021-06-09 00:00:00,1438.97,1426.04,1465.93,1457.76,279949900
2021-06-10 00:00:00,1457.76,1443.74,1464.4,1451.18,253444200
2021-06-11 00:00:00,1451.18,1448.46,1489.95,1487.61,264960500
2021-06-14 00:00:00,1487.61,1483.82,1504.32,1495.51,249571500
2021-06-15 00:00:00,1495.51,1481.03,1498.75,1487.04,239018700
2021-06-16 00:00:00,1487.04,1462.99,1487.68,1465.58,241627222
2021-06-17 00:00:00,1465.58,1452.53,1468.87,1461.91,211574000
2021-06-18 00:00:00,1461.91,1461.91,1484.89,1481.3,198662900
2021-06-21 00:00:00,1481.3,1473.11,1486.12,1478.29,205148100
2021-06-22 00:00:00,1478.29,1478.29,1498.12,1489.24,211641600
2021-06-23 00:00:00,1489.24,1485.13,1502.79,1489.53,197836400
2021-06-24 00:00:00,1489.53,1482.38,1497.92,1486.96,175257700
2021-06-25 00:00:00,1486.96,1480.64,1500.94,1500.3,180213400
2021-06-28 00:00:00,1500.3,1500.3,1523.58,1521.41,215306300
2021-06-29 00:00:00,1521.41,1521.41,1536.96,1529.97,203545700
2021-06-30 00:00:00,1529.97,1528.1,1540.9,1529.0,192676300
2021-07-01 00:00:00,1529.09,1525.24,1545.14,1545.14,253521100
2021-07-02 00:00:00,1545.14,1545.14,1558.45,1554.59,242776200
2021-07-05 00:00:00,1559.94,1533.18,1560.44,1557.41,309397900
2021-07-06 00:00:00,1557.92,1488.42,1565.29,1488.42,298837000
2021-07-07 00:00:00,1501.44,1472.81,1538.77,1538.77,306583400
2021-07-08 00:00:00,1530.4,1509.9,1536.51,1521.21,218880200
2021-07-09 00:00:00,1510.0,1480.6,1526.35,1494.43,287668400
2021-07-12 00:00:00,1488.29,1406.14,1495.92,1443.1,412553600
2021-07-13 00:00:00,1454.56,1419.09,1457.05,1440.87,174503600
2021-07-14 00:00:00,1442.2,1395.16,1446.13,1410.3,215228900
2021-07-15 00:00:00,1402.36,1402.36,1441.57,1430.29,189776500
2021-07-16 00:00:00,1439.96,1433.16,1446.36,1438.05,152452100
2021-07-19 00:00:00,1403.96,1367.61,1412.7,1374.15,268708600
2021-07-20 00:00:00,1379.41,1357.31,1411.02,1411.02,221511500
2021-07-21 00:00:00,1415.71,1402.42,1422.8,1406.54,149343500
2021-07-22 00:00:00,1404.49,1400.2,1432.43,1428.48,162697100
2021-07-23 00:00:00,1422.07,1401.53,1430.43,1401.53,235469400
2021-07-26 00:00:00,1397.01,1384.87,1409.94,1403.96,152848200
2021-07-27 00:00:00,1415.5,1408.8,1423.3,1409.85,190307000
2021-07-28 00:00:00,1406.25,1402.6,1415.39,1407.5,120700100
2021-07-29 00:00:00,1419.55,1413.59,1427.55,1427.55,166489800
2021-07-30 00:00:00,1430.48,1428.85,1451.45,1447.23,224343000
2021-08-02 00:00:00,1443.6,1438.35,1457.89,1448.21,198500500
2021-08-03 00:00:00,1449.97,1449.33,1469.87,1469.87,225709900
2021-08-04 00:00:00,1476.82,1465.66,1480.28,1472.2,218545200
2021-08-05 00:00:00,1469.13,1465.1,1488.79,1486.46,193618800
2021-08-06 00:00:00,1488.11,1476.79,1491.52,1476.79,211700400
2021-08-09 00:00:00,1472.78,1467.32,1499.9,1497.83,206115700
2021-08-10 00:00:00,1506.5,1490.0,1508.92,1494.41,185390800
2021-08-11 00:00:00,1497.13,1487.91,1506.8,1487.91,245343900
2021-08-12 00:00:00,1487.1,1477.06,1493.69,1477.06,184219700
2021-08-13 00:00:00,1477.72,1463.48,1484.67,1484.25,207219000
2021-08-16 00:00:00,1490.7,1487.52,1504.03,1500.77,258600300
2021-08-17 00:00:00,1508.41,1488.74,1512.27,1494.12,217175800
2021-08-18 00:00:00,1493.12,1484.26,1500.17,1489.54,192677500
2021-08-19 00:00:00,1489.74,1479.6,1505.01,1505.01,206497700
2021-08-20 00:00:00,1495.67,1436.24,1497.03,1450.45,348767300
2021-08-23 00:00:00,1443.67,1412.0,1446.73,1412.0,250637200
2021-08-24 00:00:00,1415.71,1406.94,1423.46,1418.26,203685300
2021-08-25 00:00:00,1420.74,1411.07,1430.58,1428.51,153263700
2021-08-26 00:00:00,1432.37,1408.08,1433.67,1412.45,152194200
2021-08-27 00:00:00,1403.99,1391.88,1418.57,1418.57,202511100
2021-08-30 00:00:00,1427.48,1420.77,1434.25,1431.05,154142100
2021-08-31 00:00:00,1435.52,1425.71,1437.38,1428.66,152484200
2021-09-01 00:00:00,1425.35,1423.08,1434.35,1426.94,176638100
2021-09-06 00:00:00,1433.71,1426.94,1441.92,1441.54,208734600
2021-09-07 00:00:00,1446.0,1441.69,1454.82,1444.1,205271300
2021-09-08 00:00:00,1447.43,1431.38,1447.85,1433.71,152206200
2021-09-09 00:00:00,1432.84,1431.55,1449.16,1447.28,166188800
2021-09-10 00:00:00,1451.78,1447.44,1453.81,1448.33,139146600
2021-09-13 00:00:00,1450.0,1444.71,1454.72,1444.99,162870500
2021-09-14 00:00:00,1444.99,1436.98,1448.71,1438.16,148168200
2021-09-15 00:00:00,1433.9,1432.76,1447.64,1444.85,130108600
2021-09-16 00:00:00,1452.9,1442.77,1454.23,1448.98,134634300
2021-09-17 00:00:00,1452.31,1451.38,1459.94,1455.59,188921000
2021-09-20 00:00:00,1468.11,1454.95,1474.66,1458.66,180834700
2021-09-21 00:00:00,1444.75,1433.77,1455.71,1446.22,167219900
2021-09-22 00:00:00,1449.44,1440.02,1454.19,1453.22,122875100
2021-09-23 00:00:00,1456.46,1453.02,1466.0,1458.23,138284900
2021-09-24 00:00:00,1460.63,1456.89,1464.12,1459.94,141119100
2021-09-27 00:00:00,1462.86,1439.2,1464.5,1439.2,148690000
2021-09-28 00:00:00,1433.7,1430.89,1454.79,1451.12,141163200
2021-09-29 00:00:00,1450.73,1440.55,1453.66,1450.52,169808300
2021-09-30 00:00:00,1452.76,1452.55,1461.94,1453.76,118787000
2021-10-01 00:00:00,1450.9,1438.52,1453.24,1441.83,188812300
2021-10-04 00:00:00,1442.87,1434.72,1446.78,1443.61,220195000
2021-10-05 00:00:00,1446.77,1444.49,1456.37,1456.21,152940400
2021-10-06 00:00:00,1461.98,1453.78,1461.98,1461.72,157608000
2021-10-07 00:00:00,1467.95,1460.87,1469.02,1462.74,142851700
2021-10-08 00:00:00,1466.78,1463.07,1476.54,1476.54,137767900
